"","aphanotorulus_emarginatus19719","hemiancistrus_cerrado66643","hemiancistrus_fuliginosus61299","hypancistrus_sp61759","hypostomus_cf_gymnorhynchus80910","hypostomus_cfhemicochliodon64160","hypostomus_faveolus27640","hypostomus_melanephelis54012","hypostomus_sp50059","hypostomus_sp55539","hypostomus_sp76321","hypostomus_strigaticeps61230","panaqolus_gnomus57729","panaqolus_sp57507","panaqolus_sp61753","peckoltia_braueri69540","peckoltia_compta61756","peckoltia_snethlageae57059","pterygoplichthys_anisitsi26686","scobinancistrus_aureatus61467","spectracanthicus_immaculatus43225","12|34","13|24","14|23","p_T3",""
"139",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,859.333333333333,79.3333333333333,80.3333333333333,0.936921522347667,1.08120576516497e-259
"140",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,718.333333333333,81.3333333333333,62.3333333333333,0.112400367929158,1.92776151718864e-211
"141",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,113,517,89,0.0909070182253632,1.61729218869426e-105
"142",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,600.333333333333,135.333333333333,80.3333333333333,0.000165913204431113,4.99286516984752e-131
"143",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,242.333333333333,469.333333333333,200.333333333333,0.0457453385495528,1.20719369286121e-30
"144",1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,907.666666666667,44.6666666666667,63.6666666666667,0.06722087692402,3.15711693992746e-312
"145",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,860.666666666667,70.6666666666667,77.6666666666667,0.565388467930372,5.41476586399345e-267
"146",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,885.666666666667,63.6666666666667,79.6666666666667,0.180953052438925,1.84962423254874e-280
"147",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,718.333333333333,79.3333333333333,71.3333333333333,0.514463223245145,2.23507370184179e-207
"148",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,110.333333333333,522.333333333333,92.3333333333333,0.205790249692484,4.81187927262604e-107
"149",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,620,126,87,0.00736673735888947,8.53830081162367e-139
"150",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,255.333333333333,471.333333333333,198.333333333333,0.00736953493531247,6.14679721550463e-30
"151",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,865.333333333333,72.3333333333333,64.3333333333333,0.493650158366257,4.59267990167568e-276
"152",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,882.666666666667,73.6666666666667,64.6666666666667,0.443987200988929,3.00065236759497e-282
